30 8 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 0 0 0 0 0 0 0 0 0 0 0 0,2.759829386207709e-02,9.893039026496754e+02,6.746131691725564e-01,2.075943886915467e+03,1.416689775633751e-02,6.631585435460085e-04,6.046521679344979e-04,7.812915346876188e-05,6.010191571045837e-02
30 9 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 0 0 0 0 0 0 0 0 0 0 0 0,1.485665834278299e-02,4.755639576034072e+02,3.302375508818177e-01,1.179693362744395e+03,6.186688843111151e-03,3.395936514056802e-04,3.012684542950707e-04,4.935933404771479e-05,4.586717729524306e-02
30 10 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 0 0 0 0 0 0 0 0 0 0 0 0,9.767652229234175e-03,2.562690481976204e+02,1.850867572274304e-01,8.734825041230919e+02,3.130585576138532e-03,2.326326556656197e-04,1.939493222411883e-04,3.197909124576762e-05,3.274763562649511e-02
30 11 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 672960609 938920668 554917907 230810440 597477638 759639615 198461923 521637492 305592447 338017958 482469020 807357794 0 0 0 0 0 0 0 0 0 0 0 0,8.848239951512764e-03,2.296871294936348e+02,1.650801693865869e-01,7.442491076507318e+02,2.502359335093576e-03,2.017947542112586e-04,1.588966205765600e-04,1.939774747517297e-05,2.213041143556019e-02
30 12 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 672960609 938920668 554917907 230810440 597477638 759639615 198461923 521637492 305592447 338017958 482469020 807357794 10667578 268533774 422257425 958457568 436880436 439796207 975748095 815247648 23783510 22628013 413101932 396531141 0 0 0 0 0 0 0 0 0 0 0 0,8.280873253324957e-03,2.235942332780994e+02,1.604775153327003e-01,6.738565251480079e+02,1.994352415215833e-03,1.862772911637928e-04,1.497743875862175e-04,1.415028052455717e-05,1.552647577083039e-02
30 13 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 672960609 938920668 554917907 230810440 597477638 759639615 198461923 521637492 305592447 338017958 482469020 807357794 10667578 268533774 422257425 958457568 436880436 439796207 975748095 815247648 23783510 22628013 413101932 396531141 518196311 427179081 988433200 170678992 697998740 338293708 873564500 244676424 936434940 340658897 360109925 578604545 0 0 0 0 0 0 0 0 0 0 0 0,7.943798321156234e-03,2.174592755642318e+02,1.546249236445154e-01,6.082239523210583e+02,1.619319166884926e-03,1.839881815386906e-04,1.487337266036213e-04,9.894923228990445e-06,1.118844710742916e-02
30 14 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 672960609 938920668 554917907 230810440 597477638 759639615 198461923 521637492 305592447 338017958 482469020 807357794 10667578 268533774 422257425 958457568 436880436 439796207 975748095 815247648 23783510 22628013 413101932 396531141 518196311 427179081 988433200 170678992 697998740 338293708 873564500 244676424 936434940 340658897 360109925 578604545 909235475 64599497 845378618 928599693 64815620 24298018 808362448 701940472 129432986 130197395 34299936 486979889 0 0 0 0 0 0 0 0 0 0 0 0,3.403238380419487e-04,2.620494957384540e+00,3.243684757797881e-03,6.394390762663158e+01,1.461181753294782e-04,7.702527169458991e-06,3.579578646311139e-06,7.107574939295990e-06,7.731495589251198e-03
30 15 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 672960609 938920668 554917907 230810440 597477638 759639615 198461923 521637492 305592447 338017958 482469020 807357794 10667578 268533774 422257425 958457568 436880436 439796207 975748095 815247648 23783510 22628013 413101932 396531141 518196311 427179081 988433200 170678992 697998740 338293708 873564500 244676424 936434940 340658897 360109925 578604545 909235475 64599497 845378618 928599693 64815620 24298018 808362448 701940472 129432986 130197395 34299936 486979889 829362448 584946987 964807902 50537551 786707110 558561689 829314929 831147871 891044703 630654134 186285141 898367645 0 0 0 0 0 0 0 0 0 0 0 0,2.417185978925754e-04,1.064873290904322e+00,1.971561586123565e-03,4.373982867495062e+01,8.553482778565779e-05,5.496692981286046e-06,2.366955446123828e-06,5.236391112228600e-06,5.610540550263103e-03
30 16 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 672960609 938920668 554917907 230810440 597477638 759639615 198461923 521637492 305592447 338017958 482469020 807357794 10667578 268533774 422257425 958457568 436880436 439796207 975748095 815247648 23783510 22628013 413101932 396531141 518196311 427179081 988433200 170678992 697998740 338293708 873564500 244676424 936434940 340658897 360109925 578604545 909235475 64599497 845378618 928599693 64815620 24298018 808362448 701940472 129432986 130197395 34299936 486979889 829362448 584946987 964807902 50537551 786707110 558561689 829314929 831147871 891044703 630654134 186285141 898367645 606869120 850670289 469755058 95312547 297283695 657466702 599428700 570779345 133326731 42912700 291647287 336668900 0 0 0 0 0 0 0 0 0 0 0 0,9.688425935926621e-05,4.329918766360961e-01,7.633932524437714e-04,2.004305250221791e+01,3.918664996281899e-05,2.360878189931395e-06,9.213063282916827e-07,2.988531945795812e-06,4.012900360761021e-03
30 17 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 672960609 938920668 554917907 230810440 597477638 759639615 198461923 521637492 305592447 338017958 482469020 807357794 10667578 268533774 422257425 958457568 436880436 439796207 975748095 815247648 23783510 22628013 413101932 396531141 518196311 427179081 988433200 170678992 697998740 338293708 873564500 244676424 936434940 340658897 360109925 578604545 909235475 64599497 845378618 928599693 64815620 24298018 808362448 701940472 129432986 130197395 34299936 486979889 829362448 584946987 964807902 50537551 786707110 558561689 829314929 831147871 891044703 630654134 186285141 898367645 606869120 850670289 469755058 95312547 297283695 657466702 599428700 570779345 133326731 42912700 291647287 336668900 1069286697 1029168313 490235585 130331293 494619587 188516653 553956900 89071257 759067238 324565062 420363989 827682136 0 0 0 0 0 0 0 0 0 0 0 0,7.792806446071922e-05,3.397025532322700e-01,6.526166623552480e-04,1.505475014650617e+01,2.728328082969024e-05,1.867848864469761e-06,6.093270190739759e-07,1.419250790895767e-06,2.741572959847229e-03
30 18 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 672960609 938920668 554917907 230810440 597477638 759639615 198461923 521637492 305592447 338017958 482469020 807357794 10667578 268533774 422257425 958457568 436880436 439796207 975748095 815247648 23783510 22628013 413101932 396531141 518196311 427179081 988433200 170678992 697998740 338293708 873564500 244676424 936434940 340658897 360109925 578604545 909235475 64599497 845378618 928599693 64815620 24298018 808362448 701940472 129432986 130197395 34299936 486979889 829362448 584946987 964807902 50537551 786707110 558561689 829314929 831147871 891044703 630654134 186285141 898367645 606869120 850670289 469755058 95312547 297283695 657466702 599428700 570779345 133326731 42912700 291647287 336668900 1069286697 1029168313 490235585 130331293 494619587 188516653 553956900 89071257 759067238 324565062 420363989 827682136 548650217 406383405 36511719 202074131 996221642 553216800 646455049 880115963 805090750 640826151 406330999 327305202 0 0 0 0 0 0 0 0 0 0 0 0,7.077914734363584e-05,2.934783660790838e-01,5.806656262467859e-04,1.299197532878327e+01,2.434157124603177e-05,1.775495522754865e-06,5.490253573760819e-07,9.617686474903964e-07,1.963553977870847e-03
30 19 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 672960609 938920668 554917907 230810440 597477638 759639615 198461923 521637492 305592447 338017958 482469020 807357794 10667578 268533774 422257425 958457568 436880436 439796207 975748095 815247648 23783510 22628013 413101932 396531141 518196311 427179081 988433200 170678992 697998740 338293708 873564500 244676424 936434940 340658897 360109925 578604545 909235475 64599497 845378618 928599693 64815620 24298018 808362448 701940472 129432986 130197395 34299936 486979889 829362448 584946987 964807902 50537551 786707110 558561689 829314929 831147871 891044703 630654134 186285141 898367645 606869120 850670289 469755058 95312547 297283695 657466702 599428700 570779345 133326731 42912700 291647287 336668900 1069286697 1029168313 490235585 130331293 494619587 188516653 553956900 89071257 759067238 324565062 420363989 827682136 548650217 406383405 36511719 202074131 996221642 553216800 646455049 880115963 805090750 640826151 406330999 327305202 281564703 567739064 305707082 1045327915 743211695 981177690 715447491 152451089 393846010 540055184 854416866 213888167 0 0 0 0 0 0 0 0 0 0 0 0,1.255893548631208e-05,6.566190353116362e-02,9.692897829609121e-05,3.060160376251157e+00,5.216529800843123e-06,2.424677383546977e-07,1.004915705568207e-07,5.505047756700611e-07,1.406738718384590e-03
30 20 12 376009787 113325173 365589568 435632494 32678341 551397128 768717957 609470369 690191426 226253065 980220447 805428583 616649261 802884388 795832513 172170459 505635296 489766929 184677116 578981355 28134813 147381635 391809923 869599887 1038915818 776006141 352548612 1059343654 425856624 195538897 591120478 496170689 207393949 1009733192 926256294 1014763568 449176030 240665347 791353731 565249317 1054825470 629476791 258801695 646129714 406243981 730981142 896109598 659252565 680969485 1067428575 639030956 65081497 1033723186 1006219829 981458210 870096655 500443338 441127473 310914840 973942038 844929903 237210076 875424815 498668119 938870058 921379579 434399026 49561033 244003934 1068685129 979419742 754651348 469210199 433405280 460322970 696359679 269291076 836280603 697605612 642998690 327631593 902159719 492998431 897847746 515424615 542548953 209202842 815656005 814524247 978070866 787798639 66791072 692702121 362034294 917440954 182137879 955287332 206172120 769072557 627318345 656722885 1007507930 845498401 319166205 76532237 888137773 1036679165 679510472 441067371 892707582 62593514 886975033 524631983 236561171 27242131 892427797 120264433 862283775 877461802 128246679 672960609 938920668 554917907 230810440 597477638 759639615 198461923 521637492 305592447 338017958 482469020 807357794 10667578 268533774 422257425 958457568 436880436 439796207 975748095 815247648 23783510 22628013 413101932 396531141 518196311 427179081 988433200 170678992 697998740 338293708 873564500 244676424 936434940 340658897 360109925 578604545 909235475 64599497 845378618 928599693 64815620 24298018 808362448 701940472 129432986 130197395 34299936 486979889 829362448 584946987 964807902 50537551 786707110 558561689 829314929 831147871 891044703 630654134 186285141 898367645 606869120 850670289 469755058 95312547 297283695 657466702 599428700 570779345 133326731 42912700 291647287 336668900 1069286697 1029168313 490235585 130331293 494619587 188516653 553956900 89071257 759067238 324565062 420363989 827682136 548650217 406383405 36511719 202074131 996221642 553216800 646455049 880115963 805090750 640826151 406330999 327305202 281564703 567739064 305707082 1045327915 743211695 981177690 715447491 152451089 393846010 540055184 854416866 213888167 956233651 243337945 338554719 1032883628 532501720 1010977003 990180123 13233731 895707158 214577500 979161387 744078157 0 0 0 0 0 0 0 0 0 0 0 0,6.814486466187830e-06,3.065454157973147e-02,5.105209973209500e-05,1.737277412079174e+00,2.902081342036946e-06,1.255644125882475e-07,4.972299688903814e-08,4.191530539741798e-07,1.033089474033381e-03
