32 8 1 2015414501 4130683619 4140618276 403951145 1190464223 107247592 2368612534 3116238876 0,-27.506738905766893
32 8 1 2757111101 1676374530 2783239617 2655648818 2450621886 3156223283 2173571353 1620004956 0,-25.101714738297073
32 9 1 3329301418 2829404649 498850853 1767843977 441408544 629214051 2859872687 258041766 1113019251 0,-33.224850967890565
32 9 1 774451774 3914311615 1630548667 3582944306 3510308845 1546602220 3014473837 3631559891 190064927 0,-29.281275144802730
32 10 1 2393184322 2389528509 4081478398 144344248 440302497 3012358346 863471317 757258554 440418848 532471682 0,-38.405131549284872
32 10 1 912606846 905812697 1207550033 3098960745 1847892547 811191661 2822580221 2494027486 3061190454 3794876953 0,-34.030535681425176
32 11 1 3714500596 309996164 3023989779 2667603975 3369388218 4013198615 3924966326 1207300061 3272181225 725913840 916681404 0,-42.500999869293360
32 11 1 2813941809 2185810777 2350767295 4210697837 1223483491 3908561865 1311476967 1662527770 960214993 432646604 1032988463 0,-39.300305462190892
32 12 1 3114563708 1234909267 2023515028 985572378 2105991314 2986196983 1680677245 3706209631 3223664732 2152894812 4080837614 2696777071 0,-48.057466266289593
32 12 1 4060503590 7622746 3191498103 138327090 2711158484 3512927049 2561413151 1819414469 2051737333 1692738304 2042498813 153936189 0,-44.642557917456806
32 13 1 2706380009 1604061297 2706565919 372696286 450696091 2630392772 928836057 4281798012 2553785940 375883986 1962241536 1861530462 290516165 0,-55.197695061536430
32 13 1 2334110701 3092285235 1856558214 2756696438 2748629334 1082597785 2172821311 3277228697 3692641074 2530664092 3012373992 1803992745 2334820432 0,-50.675396960585162
32 14 1 390062459 676956142 585219245 2119561118 372455188 4039782772 2913115207 4119231178 1977525963 3347097556 1781007454 3875386799 403686919 2752896202 0,-61.510528312992322
32 14 1 4186821465 1949323072 3842658839 3704109052 2342025250 1876339492 2739971499 461594516 163270341 1173441415 1807881127 4231503212 3361586672 2514144451 0,-56.622504543444940
32 15 1 1805672680 2087083650 215570642 1982263352 220451313 4276693938 3890386767 3652531039 4106892639 482407549 3769674507 106747148 1285561363 529878344 2066857076 0,-nan
32 15 1 470622395 3396911030 987846332 637939084 1231472978 1380225859 3830951207 3985792540 2798136985 493158410 1234779055 1824064203 2503029070 1015685579 764065287 0,-63.586305966595835
32 16 1 3272783074 3832954495 3255138411 399907124 4260642634 2964826904 563922899 1788205301 2883937373 3825299443 1756031577 1180292379 117889021 3136194119 1549382879 510188908 0,-nan
32 16 1 1048179968 2602701773 264111521 1038891842 103798022 4293639800 3712823917 481542100 41866953 4120968267 906472688 2233925225 2997442726 3671661171 211322698 3084264021 0,-nan
